donor,best PCE
687_61_011000,17.906712
1050_153_111101,17.905714
655_61_000100,17.904024
112_6_110011,17.903275
1050_25_111011,17.903122
577_61_101000,17.898845
1050_634_110011,17.896905
100_1012_101010,17.895941
1194_6_011110,17.893525
185_5_000110,17.892468
260_99_010000,17.891916
824_61_000101,17.891608
687_61_001100,17.891428
121_1026_101111,17.887709
824_61_001100,17.886653
953_6_101110,17.884523
653_6_111011,17.883779
121_1143_101101,17.883704
121_61_110000,17.883122
121_600_101111,17.882376
1208_6_110001,17.878524
674_6_101001,17.878387
1208_6_111100,17.87646
914_61_110100,17.873062
100_343_101100,17.872645
121_61_010010,17.869767
121_61_000110,17.868162
874_6_111011,17.868035
100_1071_100111,17.863876
920_1027_111011,17.860077
121_6_111011,17.858826
452_6_110011,17.853601
100_484_101111,17.851663
1050_802_111101,17.849282
1190_61_011010,17.847234
100_775_111101,17.845841
185_61_010100,17.844782
1050_186_111101,17.84397
579_95_110011,17.842611
920_1114_110011,17.841962
1194_6_110011,17.838735
1050_411_100111,17.837762
1208_6_111011,17.833955
100_1085_101111,17.830216
1050_388_011011,17.822283
905_472_111111,17.822094
1050_200_110111,17.81815
687_99_001000,17.817167
920_1036_111101,17.815388
100_305_110011,17.809955
793_61_100110,17.808111
184_99_001000,17.807879
1050_599_110111,17.807451
100_440_100111,17.807411
260_478_100111,17.806361
1118_61_000101,17.806299
920_887_111001,17.80585
687_993_111001,17.805819
577_61_001010,17.804844
905_6_111011,17.799924
121_61_010100,17.796451
383_99_001001,17.794435
860_6_110100,17.794321
577_61_000110,17.790269
860_6_101110,17.789833
934_81_111101,17.788734
383_99_000111,17.786044
121_61_001100,17.78303
121_61_001010,17.782728
577_1036_111011,17.782238
100_219_101111,17.781874
904_61_110001,17.781798
1050_285_111001,17.779366
1050_1002_111101,17.779334
260_309_110011,17.775854
49_6_000010,17.775721
100_409_111101,17.775368
185_61_001001,17.766717
687_61_010010,17.764976
121_61_011000,17.764804
838_61_110011,17.761631
121_103_111011,17.761192
260_99_000100,17.7602
824_649_101111,17.759652
1050_519_011011,17.757533
100_185_101111,17.752223
1050_189_111100,17.746865
185_504_111101,17.742063
121_316_010001,17.741788
905_6_011111,17.740005
674_17_101110,17.739922
185_61_001100,17.736269
185_872_110001,17.735935
687_1055_001111,17.732595
1118_61_010100,17.731835
1050_360_111001,17.731396
112_6_100111,17.72986
1050_911_100111,17.728008
185_759_110111,17.727666
988_6_110011,17.725543
121_6_101111,17.724251
118_219_100111,17.723478
959_61_101000,17.722025
121_1196_110001,17.72027
1050_543_111100,17.716424
920_1156_101100,17.715371
1050_345_110111,17.714089
920_66_110011,17.704878
100_1045_100111,17.704445
934_61_100000,17.704064
100_485_110011,17.702738
687_850_111001,17.700879
1050_893_111011,17.699824
100_896_100011,17.699727
920_666_110011,17.698284
112_6_111101,17.696673
