acceptor,best PCE
39_24_0,18.289903
39_115_6,18.287723
39_130_46,18.286056
39_115_55,18.285562
39_41_130_3_39,18.285129
12_28_130_28_39,18.284965
39_118_6,18.284918
39_21_127_3_39,18.283178
39_133_127_133_39,18.281757
39_28_86_116_43,18.281023
39_130_33_78_39,18.280487
39_34_44,18.279786
39_83_26,18.278395
39_113_65,18.277765
39_100_56,18.277426
39_130_130_130_18,18.277048
39_28_130_28_38,18.276761
39_135_47,18.276667
31_126_39,18.276443
39_167_130_132_39,18.276398
39_130_54,18.274334
39_100_33,18.2728
39_15_86_15_2,18.270484
32_130_39,18.269731
39_130_41_6_39,18.268311
39_34_36,18.266012
39_126_7,18.264685
39_130_127_130_27,18.264546
39_100_60,18.264136
39_28_86_16_68,18.263682
39_104_9,18.262783
54_130_39,18.262492
39_130_130_130_67,18.261583
39_78_130_78_39,18.261512
39_162_130_133_39,18.260965
39_104_66,18.260647
39_15_86_160_12,18.259237
39_14_130_78_39,18.258068
39_0_130_132_39,18.257483
65_113_39,18.255346
39_120_130_29_39,18.254411
39_59_127_3_39,18.254397
27_100_39,18.253739
39_104_33,18.253079
39_34_26,18.252865
39_167_130_77_39,18.252004
39_104_27,18.250364
39_100_27,18.250027
39_126_18,18.249461
39_83_36,18.249251
39_50_86_47_65,18.248915
39_130_47,18.24878
39_133_162_130_39,18.248603
39_113_62,18.248538
39_15_86_15_42,18.246894
39_130_4,18.244861
39_28_130_44_39,18.244565
39_156_86_6_9,18.242557
39_132_130_132_39,18.241843
39_130_32,18.241578
39_3_86_71_47,18.241452
52_126_39,18.239285
39_119_130_125_39,18.23841
39_133_91_130_39,18.238043
39_126_51,18.236798
39_130_108_3_39,18.236786
39_28_86_10_58,18.235382
39_109_130_125_39,18.235165
39_24_15,18.234792
