,smi_filename,smiles,sTDDFTxtb_HOMO,B3LYP_HOMO,A_or_D
152,278_C,c1cc2c(c3cc4sc(CC)cc4s3)c3c(c(c4sc5cc(CC)sc5c4)c2s1)cc(s3),-13.454,-5.278598,D
153,279_C,C1=C2C(C(=O)N1C)=C(N(C)C2=O),-14.405,-5.979485,D
154,280_C,c1c2C(=O)N(C)C(=O)c2c(s1),-15.835,-7.033395,A
155,281_C,c1ccc(c2C(=Cc3ccsc3)C(=O)N(CC)c12),-14.315,-5.913155,D
156,282_C,c1sc(c2sc(C(=O)OCC)c(c12)Cl),-13.967,-5.656679,D
157,283_C,c1sc(c2sc(c3c(cc(C(=O)OCC)s3)Cl)c(c12)Cl),-13.869,-5.584453,D
158,284_C,c1cc2c(c3cccc(OCC)c3)c3c(c(c4cccc(OCC)c4)c2s1)cc(s3),-13.877,-5.590349,D
159,285_C,c1c(F)c(F)c(c2nc(c3ccc(OCC)c(c3)F)c(nc12)c1ccc(OCC)c(F)c1),-14.937,-6.371569,D
160,286_C,c1ccc(c2nc(c3cccc(OCC)c3)c(nc12)c1cccc(OCC)c1),-15.045,-6.451165,D
161,287_C,c1cc2c(c3cc4sc([Si](CC)(CC)CC)cc4s3)c3c(c(c4sc5cc([Si](CC)(CC)CC)sc5c4)c2s1)cc(s3),-13.401,-5.239537,D
162,288_C,c1cc2c(c3ccc4cc(OCC)ccc4c3)c3c(c(c4cc5ccc(OCC)cc5cc4)c2s1)cc(s3),-13.824,-5.551288,D
163,289_C,c1cc2c(c3ccc(OCC)c(C(F)(F)F)c3)c3c(c(c4ccc(OCC)c(c4)C(F)(F)F)c2s1)cc(s3),-14.022,-5.697214,D
164,290_C,c1sc(c2sc(c3ccc(C(=O)OCC)s3)c(c12)Cl),-13.839,-5.562343,D
165,291_C,c1c(F)c(F)c(c2nc(c3cccc(OCC)c3)c(nc12)c1cccc(OCC)c1),-15.17,-6.54329,D
166,292_C,c1cc2c(c3c1nc(c1ccc(CC)s1)c(c1ccc(CC)s1)n3)cc(c1nc(c3ccc(CC)s3)c(nc21)c1ccc(CC)s1),-14.154,-5.794498,D
167,293_C,c1nnc(s1),-16.86,-7.78882,A
168,294_C,c1cc2c(c3ccc4ccccc4c3)c3c(c(OCC)c2s1)cc(s3),-13.631,-5.409047,D
169,295_C,c1cc2c(c3ccc4cc(SCC)ccc4c3)c3c(c(c4cc5ccc(SCC)cc5cc4)c2s1)cc(s3),-13.868,-5.583716,D
170,296_C,c1cc2c(c3ccc(CC)[se]3)c3c(c(c4ccc(CC)[se]4)c2s1)cc(s3),-13.58,-5.37146,D
