,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,HOMO,LUMO,optbg,max_abs,total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins
DBTD-4F,A,-5.51,-3.9,1.34,751.0,753.0,,,,,,,,,,
DCI-2,A,-5.24,-4.05,1.23,888.0,680.0,,,,,,,,,,
DF-PCIC,A,-5.49,-3.77,,,,,,,,,,,,,
DF-TCIC,A,-5.37,-3.76,1.46,686.0,,,,,,,,,,,
DICTF,A,-5.67,-3.79,1.82,624.0,587.0,-7.75,-1.93,2.71,457.1,6.9,-7.75,-1.93,2.71,457.1,6.9
di-PBI,A,-6.1,-4.0,,,,,,,,,,,,,
di-PDI,A,-6.1,-3.86,,,,,,,,,,,,,
di-PDI-2F,A,-6.22,-3.92,,,,,,,,,,,,,
DO-2F,A,-5.54,-3.9,,,,,,,,,,,,,
DPP-FN-DPP,A,-5.56,-3.81,1.75,653.0,585.0,,,,,,,,,,
DR3TBDTT,D,-5.02,-3.27,,,,,,,,,,,,,
DRBDT-STVT,D,-5.14,-3.43,,,,,,,,,,,,,
DRBDT-TVT,D,-5.11,-3.41,,,,,,,,,,,,,
DRCN5T,D,-5.22,-3.41,,,,,,,,,,,,,
DRNCN5T,D,-5.22,-3.41,,,,,,,,,,,,,
DRTB-T,D,-5.51,-3.34,,,,,,,,,,,,,
DRTB-T-C4,D,-5.51,-3.34,,,,,,,,,,,,,
DTBT(TDPP)2,A,-5.7,-4.18,,,,,,,,,,,,,
DTC-4F,A,-5.79,-3.92,1.63,701.0,672.0,,,,,,,,,,
DTCC-BC,A,-5.46,-3.81,1.67,671.0,643.0,,,,,,,,,,
DTCC-IC,A,-5.49,-3.85,1.62,705.87,661.96,,,,,,,,,,
DTC-F-C,A,-5.66,-3.94,1.72,650.0,691.0,,,,,,,,,,
DTC-F-F,A,-5.51,-3.83,1.68,654.0,595.0,,,,,,,,,,
DTC-T-C,A,-5.68,-4.09,1.59,681.0,620.0,,,,,,,,,,
DTC-T-F,A,-5.48,-3.83,1.65,653.0,591.0,,,,,,,,,,
DTDfBT(TDPP)2,A,-5.85,-4.33,,,,,,,,,,,,,
DTG-IW,A,-5.63,-4.07,1.32,822.0,720.0,-7.38,-2.2,2.19,565.2,8.333,-7.38,-2.2,2.19,565.2,8.333
DTI,A,-6.1,-3.9,,,,,,,,,,,,,
DTNIC6,A,-5.87,-3.92,1.7,670.0,638.0,-7.54,-1.94,2.56,484.5,8.767,-7.54,-1.94,2.56,484.5,8.767
DTNIC8,A,-5.91,-3.93,1.73,660.0,634.0,,,,,,,,,,
DTNR,A,-5.67,-3.75,1.72,650.0,618.0,,,,,,,,,,
DTPC-DFIC,A,-5.31,-4.1,,,,,,,,,,,,,
