gen,pair,combined_abs,overlap,score
8,"[8, 511]",409.2101098814302,176.68484091867055,232.52526896275964
8,"[842, 202]",454.8713007437454,226.00743384701244,228.86386689673296
8,"[13, 547]",404.996703604052,182.54095741685327,222.45574618719874
9,"[984, 881]",505.42021976248935,169.15811732378234,336.262102438707
9,"[984, 378]",500.72160796108415,197.96617692401662,302.7554310370675
9,"[102, 881]",463.9943211808677,163.75717399839792,300.2371471824698
9,"[896, 881]",436.26362726904415,136.85073684782665,299.4128904212175
9,"[213, 881]",460.53938684715916,166.0201425224044,294.51924432475477
9,"[380, 881]",453.44040721419964,159.22864437976745,294.2117628344322
9,"[456, 881]",450.99981373420843,160.82905132486857,290.1707624093399
9,"[8, 881]",457.07544424490305,169.96166575129732,287.11377849360576
9,"[984, 202]",519.7152837671856,233.28534401766632,286.4299397495193
9,"[532, 881]",473.0915528513117,186.68573138993517,286.4058214613765
9,"[896, 202]",450.5586912737406,164.5022147833022,286.0564764904384
9,"[465, 881]",435.3785258352775,149.6049942147321,285.77353162054544
